country,sor_code,description,unit,published_unit,rate_2026,currency,section,source
IN,19.3.4,Providing and laying cement concrete 1:5:10 up to haunches of S.W. pipes (250 mm diameter),m,metre,1167.04,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.3.5,Providing and laying cement concrete 1:5:10 up to haunches of S.W. pipes (300 mm diameter),m,metre,1346.56,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.1,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (400 mm dia piles)",m,metre,2885.15,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.2,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (450 mm dia piles)",m,metre,3572.58,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.3,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (500 mm dia piles)",m,metre,4297.03,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.4,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (550 mm dia piles)",m,metre,4714.6,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.5,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (750 mm dia piles)",m,metre,8046.69,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.6,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (1000 mm dia piles)",m,metre,13258.51,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.7,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (1200 mm dia piles)",m,metre,17339.13,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.1.8,"Providing, driving with hydraulic piling rigs and installing driven cast-in-situ reinforced cement concrete piles of grade M-25 (1500 mm dia piles)",m,metre,24523.35,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2.1,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by percussion drilling (450 mm dia piles)",m,metre,2369.19,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2.2,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by percussion drilling (500 mm dia piles)",m,metre,2811.47,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2.3,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by percussion drilling (600 mm dia piles)",m,metre,3783.35,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2.4,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by percussion drilling (750 mm dia piles)",m,metre,5804.68,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2A.1,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by Crawler mounted hydraulic piling Rig (600 mm dia piles)",m,metre,5581.45,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2A.2,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by Crawler mounted hydraulic piling Rig (750 mm dia piles)",m,metre,8043.41,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2A.3,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by Crawler mounted hydraulic piling Rig (1000 mm dia piles)",m,metre,13472.76,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2A.4,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by Crawler mounted hydraulic piling Rig (1200 mm dia piles)",m,metre,17667.22,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.2A.5,"Boring, providing and installation bored cast-in-situ reinforced cement concrete piles of grade M-25 by Crawler mounted hydraulic piling Rig (1500 mm dia piles)",m,metre,25342.25,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.5.1,"Providing, driving and installing driven Pre-cast reinforced cement concrete piles of grade M-25 (400 mm dia piles)",m,metre,3886.79,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.5.2,"Providing, driving and installing driven Pre-cast reinforced cement concrete piles of grade M-25 (450 mm dia piles)",m,metre,4954.15,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.5.3,"Providing, driving and installing driven Pre-cast reinforced cement concrete piles of grade M-25 (500 mm dia piles)",m,metre,5132.9,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.5.4,"Providing, driving and installing driven Pre-cast reinforced cement concrete piles of grade M-25 (550 mm dia piles)",m,metre,5859.25,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.5.5,"Providing, driving and installing driven Pre-cast reinforced cement concrete piles of grade M-25 (750 mm dia piles)",m,metre,11256.71,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,20.5.6,"Providing, driving and installing driven Pre-cast reinforced cement concrete piles of grade M-25 (1000 mm dia piles)",m,metre,15499.7,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,22.14.1,Grading roof for water proofing treatment with Cement concrete 1:2:4,m3,cum,9286.29,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,22.22,Providing and mixing integral crystalline admixture for water proofing treatment to RCC structures,t,kg,0.411,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,23.9,Providing and fixing factory made precast RCC perforated drain covers,item,each,1500.06,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.28.1,"Chipping of unsound/weak concrete material from slabs, beams, columns etc. (75mm average thickness)",m2,sqm,385.69,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.28.2,"Chipping of unsound/weak concrete material from slabs, beams, columns etc. (50mm average thickness)",m2,sqm,261.56,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.28.3,"Chipping of unsound/weak concrete material from slabs, beams, columns etc. (25 mm average thickness)",m2,sqm,129.33,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.30.1,Drilling suitable holes in reinforced or plain cement concrete with power driven drill machine (Upto and including 12mm dia.),item,each,150.78,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.33.1,"Providing, mixing and applying SBR polymer modified plain/reinforced cement concrete (50mm thick)",m2,sqm,701.35,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.33.2,"Providing, mixing and applying SBR polymer modified plain/reinforced cement concrete (75mm thick)",m2,sqm,1052,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.34.1,Providing and laying SBR Polymer modified concrete jacket for structural members (50mm thick),m2,sqm,701.35,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.34.2,Providing and laying SBR Polymer modified concrete jacket for structural members (75mm thick),m2,sqm,1052,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.34.3,Providing and laying SBR Polymer modified concrete jacket for structural members (100mm thick),m2,sqm,1402.63,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.37,Cleaning of exposed concrete surface of sticking material,m2,sqm,457.64,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.48,Providing and fixing of customized Aluminium form work for monolithic construction on RCC members,m2,sqm,1143.2,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.58,Filling of joints between RCC plinth beam / floor slab and wall panel,m,metre,51.37,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.60,Water proofing treatment of RCC sunshade with Zycosil/equivalent,m2,sqm,167.9,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.61,In-filling / sealing of joint between RCC lintel cum sunshade and wall,m,metre,52.36,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.74.1,Fabrication and manufacturing of solid precast concrete element (Concrete grade M-35),m3,cum,24094.28,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.77.1,Erection & Installation of Precast/Prestressed Concrete elements (Prestressed hollow core Slab up to 200 mm thickness),m2,sqm,209.75,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.77.2,Erection & Installation of Precast/Prestressed Concrete elements (Prestressed hollow core slab above 200 mm up to 400 mm thickness),m2,sqm,356.14,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.77.3,Erection & Installation of Precast/Prestressed Concrete elements (Solid concrete wall elements),m3,cum,2824.85,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.83,Applying stamping finish to the top surface of freshly laid plain/reinforced cement concrete,m2,sqm,791.53,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.2,Extra for compaction of earth work in embankment under optimum moisture conditions,m3,cum,25.41,INR,Excavation,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.26.1.1,"Providing and fixing 25 mm thick shutters for cup board (Superior class teak wood, panelled or panelled & glazed)",m2,sqm,5667.16,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.26.1.2,"Providing and fixing 25 mm thick shutters for cup board (Ist class teak wood, panelled or panelled & glazed)",m2,sqm,4920.44,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.26.2.1,"Providing and fixing 25 mm thick shutters for cup board (Superior class teak wood, glazed)",m2,sqm,5632.17,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.26.2.2,"Providing and fixing 25 mm thick shutters for cup board (Ist class teak wood, glazed)",m2,sqm,4828.02,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.27.1,Providing and fixing plain jaffri door and window shutters (Second class teak wood),m2,sqm,5138.17,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.85,"Taking out existing wooden door shutter, repair and refixing",item,each,403.01,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.12.1,"Dismantling doors, windows and clerestory windows shutter (Of area 3 sq. metres and below)",item,each,374.26,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.12.2,"Dismantling doors, windows and clerestory windows shutter (Of area beyond 3 sq. metres)",item,each,512.55,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.13.1,"Taking out doors, windows and clerestory window shutters (Of area 3 sq. metres and below)",item,each,146.27,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.13.2,"Taking out doors, windows and clerestory window shutters (Of area beyond 3 sq. metres)",item,each,192.57,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.1.2.1,"Providing and fixing aluminium work for shutters of doors, windows & ventilators (Anodised aluminium)",t,kg,0.6575,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.1.2.2,"Providing and fixing aluminium work for shutters of doors, windows & ventilators (Powder coated aluminium)",t,kg,0.6983,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.1.2.3,"Providing and fixing aluminium work for shutters of doors, windows & ventilators (Polyester powder coated aluminium)",t,kg,0.7089,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.3.1,"Providing and fixing glazing in aluminium door, window, ventilator shutters and partitions (With float glass panes of 4.0 mm thickness)",m2,sqm,1260.88,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.3.2,"Providing and fixing glazing in aluminium door, window, ventilator shutters and partitions (With float glass panes of 5 mm thickness)",m2,sqm,1638.91,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.3.3,"Providing and fixing glazing in aluminium door, window, ventilator shutters and partitions (With float glass panes of 8 mm thickness)",m2,sqm,1849.84,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,21.9.2,"Extra for applying additional anodic coating AC 25 instead of AC 15 (For shutters of doors, windows & ventilators)",t,kg,0.0166,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.10,Providing and fixing factory made Kitchen Cabinet Shutter/Partition,m2,sqm,5894.76,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.4,Providing & fixing in position Phenol bonded Bamboowood panelled shutters,m2,sqm,6805.99,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.64.1,"Centering and shuttering with 12mm thick shuttering plywood (Suspended floors, roofs, landings, balconies and access platform)",m2,sqm,112.02,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.87.1,Providing and fixing factory made single extruded WPC solid plain flush door shutter (30 mm thick),m2,sqm,4888.72,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.87.2,Providing and fixing factory made single extruded WPC solid plain flush door shutter (35 mm thick),m2,sqm,5633.1,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.88.1,Providing and fixing factory made single extruded WPC solid decorative type flush door shutter (30 mm thick),m2,sqm,5350.77,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,26.88.2,Providing and fixing factory made single extruded WPC solid decorative type flush door shutter (35 mm thick),m2,sqm,6095.21,INR,Formwork,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.55.1,"Painting on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint (100 mm diameter pipes)",m,metre,78.08,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.55.2,"Painting on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint (150 mm diameter pipes)",m,metre,116.41,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.56.1,"Painting on rain water, soil waste and vent pipes with synthetic enamel paint (100 mm diameter pipes)",m,metre,85.31,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.56.2,"Painting on rain water, soil waste and vent pipes with synthetic enamel paint (150 mm diameter pipes)",m,metre,127.04,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.93.1,"Painting on rain water, soil, waste and vent pipes with black anticorrosive bitumastic paint (75 mm diameter pipes)",m,metre,58.54,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.94.1,"Painting on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint (75 mm diameter pipes, old work)",m,metre,27.51,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.94.2,"Painting on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint (100 mm diameter pipes, old work)",m,metre,36.35,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.94.3,"Painting on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint (150 mm diameter pipes, old work)",m,metre,52.36,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.95.1,"Painting on rain water, soil waste and vent pipes with aluminium paint (75 mm diameter pipes)",m,metre,60.52,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.95.2,"Painting on rain water, soil waste and vent pipes with aluminium paint (100 mm diameter pipes)",m,metre,83.71,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.95.3,"Painting on rain water, soil waste and vent pipes with aluminium paint (150 mm diameter pipes)",m,metre,124.69,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.96.1,"Painting on rain water, soil waste and vent pipes with synthetic enamel paint (75 mm diameter pipes, old work)",m,metre,29.05,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.96.2,"Painting on rain water, soil waste and vent pipes with synthetic enamel paint (100 mm diameter pipes, old work)",m,metre,37.34,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.96.3,"Painting on rain water, soil waste and vent pipes with synthetic enamel paint (150 mm diameter pipes, old work)",m,metre,53.72,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.20,Fixing of old wind tie with new fittings,m,metre,132.29,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.80,Providing & fixing White vitreous china water closet squatting pan (Indian type) along with S or P trap,item,each,3663.21,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.80.1,Providing & fixing White vitreous china water closet squatting pan (Long pattern W.C Pan of size 580x440mm),item,each,4760.94,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.80.2,Providing & fixing White vitreous china water closet squatting pan (Orissa pattern W.C Pan of size 580x440mm),item,each,4760.94,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,14.84,Dismantling 15 to 40mm dia G.I. pipe (Internal Work- Exposed on wall),m,metre,3.52,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.34.1,"Dismantling and stacking, fencing posts or struts (T or L iron or pipe)",item,each,238.58,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.42.1,Dismantling C.I. or asbestos rain water pipe (75 to 80 mm dia pipe),m,metre,77.15,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.42.2,Dismantling C.I. or asbestos rain water pipe (100 mm dia pipe),m,metre,79.5,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.42.3,Dismantling C.I. or asbestos rain water pipe (150 mm dia pipe),m,metre,81.85,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.44.1,Dismantling G.I. pipes (external work) (15 mm to 40 mm nominal bore),m,metre,153.44,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.44.2,Dismantling G.I. pipes (external work) (Above 40 mm nominal bore),m,metre,165.99,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.45.1,Dismantling C.I. pipes (Up to 150 mm diameter),m,metre,421.24,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.45.2,Dismantling C.I. pipes (Above 150 mm dia up to 300 mm dia),m,metre,554.09,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.45.3,Dismantling C.I. pipes (Above 300 mm diameter),m,metre,721.19,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.46.1,Dismantling steel cylinder R.C. pipes (Up to 600 mm diameter),m,metre,710.75,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.46.2,Dismantling steel cylinder R.C. pipes (Above 600 mm diameter),m,metre,1789.81,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.47.1,Dismantling asbestos cement pressure pipes (Up to 150 mm diameter),m,metre,338.53,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.47.2,Dismantling asbestos cement pressure pipes (Above 150 mm diameter),m,metre,410.8,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.48,Taking out C.I. cover with frame from R.C.C. top slab of manholes,item,each,712.49,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.52,Dismantling of flushing cistern of all types,item,each,920.64,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.53.1,Dismantling of C.I. sluice valve (Up to 150 mm diameter),item,each,327.22,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.53.2,Dismantling of C.I. sluice valve (Above 150 mm diameter),item,each,1207.47,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.49,Making bell mouth opening/ entrance of size 100x50x50 cm for drainage pipe under footpath,item,each,3353.3,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,17.1.1,Providing and fixing water closet squatting pan (White Vitreous china Orissa pattern W.C. pan),item,each,7148.06,INR,M&E Containment,CPWD Delhi Schedule of Rates 2021 Vol-II
