country,material,month,unit,price,currency,frequency,source_url,is_placeholder,provenance_note,replace_with
SG,steel_rebar,2021,tonne,1046.57,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2022,tonne,1135.05,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2023,tonne,879.62,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2024,tonne,793.54,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2025,tonne,689.78,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,aggregate,2014,tonne,22.45,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2015,tonne,19.71,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2016,tonne,15.43,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2017,tonne,16.07,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2018,tonne,17.21,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2019,tonne,18.49,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2020,tonne,18.44,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2021,tonne,19.58,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2022,tonne,20.33,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2023,tonne,18.98,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2024,tonne,22.43,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,aggregate,2025,tonne,22.12,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Granite (20mm Aggregate)'.",
SG,sand,2014,tonne,23.25,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2015,tonne,22.68,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2016,tonne,18.3,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2017,tonne,17.12,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2018,tonne,18.59,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2019,tonne,26.66,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2020,tonne,24.94,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2021,tonne,23.59,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2022,tonne,23.83,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2023,tonne,28.98,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2024,tonne,27.85,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,sand,2025,tonne,26.93,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Concreting Sand'.",
SG,ready_mix_concrete,2014,m3,111.15,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2015,m3,99.47,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2016,m3,85.01,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2017,m3,81.42,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2018,m3,85.15,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2019,m3,93.88,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2020,m3,94.78,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2021,m3,99.91,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2022,m3,115.62,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2023,m3,116.76,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2024,m3,119.64,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
SG,ready_mix_concrete,2025,m3,121.24,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Ready Mixed Concrete'.",
IN,cement,2023-04,index (2022-23 = 100),98.2,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-05,index (2022-23 = 100),98.2,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-06,index (2022-23 = 100),97.6,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-07,index (2022-23 = 100),98.1,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-08,index (2022-23 = 100),98.3,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-09,index (2022-23 = 100),99.4,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-10,index (2022-23 = 100),102.4,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-11,index (2022-23 = 100),102.3,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2023-12,index (2022-23 = 100),100.0,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-01,index (2022-23 = 100),98.1,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-02,index (2022-23 = 100),97.6,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-03,index (2022-23 = 100),96.1,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-04,index (2022-23 = 100),95.7,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-05,index (2022-23 = 100),95.0,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-06,index (2022-23 = 100),93.9,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-07,index (2022-23 = 100),91.6,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-08,index (2022-23 = 100),90.8,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-09,index (2022-23 = 100),94.0,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-10,index (2022-23 = 100),94.2,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-11,index (2022-23 = 100),93.7,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2024-12,index (2022-23 = 100),96.2,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2025-01,index (2022-23 = 100),96.0,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
IN,cement,2025-02,index (2022-23 = 100),96.3,INR,monthly,https://eaindustry.nic.in/download_data_2223.asp,false,"REAL DATA. Office of the Economic Adviser, DPIIT, Ministry of Commerce and Industry - Wholesale Price Index, base 2022-23 = 100, series 'Ordinary Portland Cement (OPC)'. This is a MATERIAL COST INDEX, not a rupee price: the unit column says so explicitly.",
